ID,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5
6639347621,5,9,6,10,8
6635645421,5,6,6,9,5
6631882921,7,6,5,6,5
6632281821,9,8,8,9,10
6635321621,9,7,9,8,10
6634550121,8,9,6,10,10
6632046421,9,5,10,6,5
6637828021,5,8,7,6,5
6634948421,9,5,7,5,6
6638427421,6,8,7,6,5
6634749821,9,6,8,5,8
6634447221,7,5,10,8,8
6637163121,9,9,9,6,5
6635404821,8,5,5,10,7
6635991221,8,8,9,9,9
6639040821,5,7,6,7,6
6637548321,5,5,7,8,10
6639375421,10,6,10,9,9
6631939521,8,5,7,6,7
6632848721,9,10,5,8,5
6636377221,5,7,8,6,9
6635416121,6,6,8,8,6
6639106621,9,8,9,5,8
6633350921,7,9,5,9,10
6639148821,7,10,8,6,7
6631883521,10,8,10,5,5
6635842321,5,8,8,5,6
6638044421,8,5,7,8,5
6637001821,5,7,10,10,5
6631921421,7,8,10,6,8
6636410921,7,5,9,6,9
6638387321,6,5,6,6,7
6637013921,9,6,9,9,10
6638740921,8,10,8,10,10
6632711921,5,9,10,7,8
6636873621,10,9,5,10,8
6634067621,5,7,5,5,9
6638003521,9,5,9,9,9
6638353321,7,6,6,9,7
6635097121,6,5,6,6,7
6632582421,9,9,9,6,10
6631803621,9,5,9,7,8
6633451721,9,5,7,7,6
6634985221,8,10,10,6,5
6631698321,7,9,7,10,6
6633434721,9,10,10,7,10
6634022121,5,5,7,6,7
6634783521,10,8,7,8,8
6637178821,7,6,9,9,7
6635593521,8,10,6,7,5
6632505221,6,5,8,7,9
6631991521,5,10,10,7,5
6631179621,9,10,6,10,9
6637275521,5,10,6,8,6
6637629521,9,7,7,5,10
6633830621,9,7,9,5,9
6632965021,7,7,7,5,9
6636590121,7,8,6,5,9
6634829221,6,9,10,10,9
6632757221,8,6,7,9,10
6631850621,5,7,10,7,7
6635494221,6,6,9,9,5
6633589421,10,10,5,9,8
6633902621,9,5,6,5,6
6634507921,5,10,5,10,7
6639232221,7,7,10,8,9
6635197321,7,7,10,10,7
6631304021,8,7,6,10,6
6638692621,9,10,10,5,10
6635111821,6,7,5,9,6
6637939421,6,10,6,10,6
6637250421,9,8,9,6,6
6636655021,6,10,10,9,9
6633809621,6,8,8,10,6
6633399821,8,6,6,8,7
6634133021,5,8,6,6,9
6637359221,10,6,7,7,9
6634427321,5,10,7,10,10
6632028721,5,6,9,6,9
6637385621,7,8,9,10,8
6634943121,10,10,10,6,6
6636308921,6,7,9,5,6
6638864821,10,6,10,8,9
6639689221,9,8,9,8,6
6638220921,7,5,8,8,9
6631973121,8,6,5,7,7
6638245521,8,8,8,10,5
6634561521,7,5,9,7,10
6636056921,6,7,5,8,7
6638975921,10,9,10,8,9
6632462421,7,9,5,8,8
6634807421,6,6,10,8,10
6635730421,9,6,5,6,8
6634397621,7,5,6,5,8
6631688321,8,10,5,6,10
6632252321,10,5,6,7,9
6632472221,6,10,7,5,8
6637814821,9,9,10,6,10
6631787321,6,8,9,5,10
